detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
HARRIS, FREAK, 7, 0.00840817, 279, 37, 6, 0, 0.0199475, 22, 0.0283556
HARRIS, FREAK, 8, 0.0061779, 151, 31, 6, 0, 0.0199075, 27, 0.0260854
HARRIS, FREAK, 9, 0.00606267, 132, 26, 6, 0, 0.0198082, 24, 0.0258708
HARRIS, SIFT, 0, 0.00614898, 126, 22, 6, 0, 0.00854182, 0, 0.0146908
HARRIS, SIFT, 1, 0.0062613, 124, 23, 6, 0, 0.00831471, 20, 0.014576
HARRIS, SIFT, 2, 0.00642678, 146, 27, 6, 0, 0.00842287, 22, 0.0148497
HARRIS, SIFT, 3, 0.00652752, 161, 27, 6, 0, 0.00852461, 27, 0.0150521
HARRIS, SIFT, 4, 0.00699248, 209, 33, 6, 0, 0.00848713, 24, 0.0154796
HARRIS, SIFT, 5, 0.00653097, 166, 30, 6, 0, 0.00876903, 31, 0.0153
HARRIS, SIFT, 6, 0.00648948, 144, 28, 6, 0, 0.00847285, 28, 0.0149623
HARRIS, SIFT, 7, 0.00851215, 279, 37, 6, 0, 0.00849109, 25, 0.0170032
HARRIS, SIFT, 8, 0.00644687, 151, 31, 6, 0, 0.00841164, 34, 0.0148585
HARRIS, SIFT, 9, 0.00605488, 132, 26, 6, 0, 0.00847362, 29, 0.0145285
FAST, BRISK, 0, 0.00094008, 1824, 149, 7, 0, 0.157614, 0, 0.158555
FAST, BRISK, 1, 0.000885403, 1832, 152, 7, 0, 0.154848, 97, 0.155734
FAST, BRISK, 2, 0.000885524, 1810, 150, 7, 0, 0.156208, 104, 0.157093
FAST, BRISK, 3, 0.000879604, 1817, 155, 7, 0, 0.154205, 101, 0.155085
FAST, BRISK, 4, 0.000878471, 1793, 149, 7, 0, 0.156295, 98, 0.157174
FAST, BRISK, 5, 0.000874973, 1796, 149, 7, 0, 0.154628, 85, 0.155503
FAST, BRISK, 6, 0.000880866, 1788, 156, 7, 0, 0.156443, 107, 0.157324
FAST, BRISK, 7, 0.000867956, 1695, 150, 7, 0, 0.155388, 107, 0.156256
FAST, BRISK, 8, 0.000885388, 1749, 138, 7, 0, 0.157415, 100, 0.1583
FAST, BRISK, 9, 0.000883438, 1770, 143, 7, 0, 0.155454, 100, 0.156337
FAST, BRIEF, 0, 0.000890837, 1824, 149, 7, 0, 0.000458113, 0, 0.00134895
FAST, BRIEF, 1, 0.00088118, 1832, 152, 7, 0, 0.000433262, 119, 0.00131444
FAST, BRIEF, 2, 0.000876932, 1810, 150, 7, 0, 0.000432444, 130, 0.00130938
FAST, BRIEF, 3, 0.000875422, 1817, 155, 7, 0, 0.000436729, 118, 0.00131215
FAST, BRIEF, 4, 0.000880705, 1793, 149, 7, 0, 0.000445466, 126, 0.00132617
FAST, BRIEF, 5, 0.00086505, 1796, 149, 7, 0, 0.000437253, 108, 0.0013023
FAST, BRIEF, 6, 0.000862488, 1788, 156, 7, 0, 0.000538908, 123, 0.0014014
FAST, BRIEF, 7, 0.000869632, 1695, 150, 7, 0, 0.000473325, 131, 0.00134296
FAST, BRIEF, 8, 0.000882316, 1749, 138, 7, 0, 0.000395087, 125, 0.0012774
FAST, BRIEF, 9, 0.00088438, 1770, 143, 7, 0, 0.000435082, 119, 0.00131946
FAST, ORB, 0, 0.000886295, 1824, 149, 7, 0, 0.00230914, 0, 0.00319544
FAST, ORB, 1, 0.000881023, 1832, 152, 7, 0, 0.00271334, 122, 0.00359437
FAST, ORB, 2, 0.000886536, 1810, 150, 7, 0, 0.00232615, 122, 0.00321269
FAST, ORB, 3, 0.0008749, 1817, 155, 7, 0, 0.00264034, 115, 0.00351524
FAST, ORB, 4, 0.00087784, 1793, 149, 7, 0, 0.00229032, 129, 0.00316816
FAST, ORB, 5, 0.000870453, 1796, 149, 7, 0, 0.00415647, 107, 0.00502693
FAST, ORB, 6, 0.000908532, 1788, 156, 7, 0, 0.00419874, 120, 0.00510727
FAST, ORB, 7, 0.00090137, 1695, 150, 7, 0, 0.00406705, 126, 0.00496842
FAST, ORB, 8, 0.000933024, 1749, 138, 7, 0, 0.00399966, 122, 0.00493268
FAST, ORB, 9, 0.000699373, 1770, 143, 7, 0, 0.00327501, 118, 0.00397438
